ID,LCLAS_NM,MLSFC_NM,POI_ID,POI_NM,BHF_NM,ASSTN_NM,CL_CD,CL_NM,PNU,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LI_NM,LNBR_NO,LEGALDONG_CD,ADSTRD_CD,RDNMADR_CD,RDNMADR_NM,BULD_NO,LC_LO,LC_LA,GID_CD,LAST_CHG_DE,ORIGIN_NM,FILE_NM,BASE_DE
KCDLCPO25N000128076,장소,문화시설,23717679,GS25,신평금오점,,90702,GS25,2.63801e+18,부산광역시,사하구,신평동,,611-7,2638010400,2638057200,263804000000.0,하신번영로167번길,53,128.9570492,35.0975852,마라328790,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
KCDLCPO25N000128077,장소,문화시설,23717680,GS25,광안새싹점,,90702,GS25,2.65001e+18,부산광역시,수영구,광안동,,776-18,2650010400,2650079000,265003000000.0,수영로,525,129.1114582,35.1527565,마라467853,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
KCDLCPO25N000128078,장소,문화시설,23717681,GS25,봉래중앙점,,90702,GS25,2.62001e+18,부산광역시,영도구,대교동2가,,20,2620010200,2620053000,262004000000.0,절영로13번길,30,129.0416005,35.0924461,마라405785,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
KCDLCPO25N000128079,장소,문화시설,23717682,GS25,좌동순환로점,,90702,GS25,2.63501e+18,부산광역시,해운대구,좌동,,1270-5,2635010700,2635055300,263503000000.0,좌동순환로,72,129.1673901,35.1727001,마라518876,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
KCDLCPO25N000128080,장소,문화시설,23717683,GS25,해운대패러그라프점,,90702,GS25,2.63501e+18,부산광역시,해운대구,우동,,645-6,2635010500,2635051000,263504000000.0,해운대로570번길,30,129.1568899,35.1601047,마라509862,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
KCDLCPO25N000128096,장소,문화시설,23717699,GS25,삼호시영점,,90702,GS25,3.11401e+18,울산광역시,남구,무거동,,1448-1,3114010100,3114058500,311404000000.0,삼호로48번길,1,129.2696695,35.5493124,마마604295,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
KCDLCPO25N000128097,장소,문화시설,23717700,GS25,신정오케이점,,90702,GS25,3.11401e+18,울산광역시,남구,신정동,,1822-11,3114010400,3114054000,311404000000.0,수암로22번길,12,129.3102961,35.5306067,마마641275,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
KCDLCPO25N000128143,장소,문화시설,23717746,GS25,거제중곡스타점,,90702,GS25,4.83101e+18,경상남도,거제시,고현동,,994,4831010900,4831058000,483105000000.0,중곡2로4길,5,128.6270643,34.8950043,마라029561,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
KCDLCPO25N000128144,장소,문화시설,23717747,GS25,성산에뜰2차점,,90702,GS25,4.81231e+18,경상남도,창원시성산구,대원동,,04월 21일,4812313700,4812352000,481233000000.0,대원로,60,128.6546929,35.2333769,마라050937,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
KCDLCPO25N000128145,장소,문화시설,23717747,GS25,성산에뜰2차점,,90702,GS25,4.81231e+18,경상남도,창원시성산구,대원동,,04월 21일,4812313700,4812352000,481233000000.0,대원로,60,128.6546929,35.2333769,마라050937,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
