DAN_ID,DAN_NAME,SIGUNGU_CD,SIGUNGU_NM,TYPE,환경오염물질_배출사업장수,낙후도지수,공항거리,항만거리,고속도로거리,화물역거리,univ_count,연구소전담부서,mart_count,store_count,hospital_count,pharmacy_count,subway_count,bus_count,BUFFER_M,낙후도지수_norm,공항거리_norm,항만거리_norm,고속도로거리_norm,화물역거리_norm,환경오염물질_배출사업장수_norm,연구소전담부서_norm,mart_count_norm,bus_count_norm,hospital_count_norm,pharmacy_count_norm,subway_count_norm,store_count_norm,univ_count_norm
226010,부산과학,21120,강서구,구,874,0.769,10.79144768,11.10528611,5.490390167,4.070910032,0.0,872,1.0,39.0,2.0,17.0,0.0,199,3000,0.0,0.8634132628472727,0.8881189770693653,0.7987725443786262,0.9614657749652606,0.15262351589429335,0.8478048780487805,0.04,0.1695095948827292,0.1,0.09550561797752809,0.0,0.12871287128712872,0.0
326040,부산에코델타시티,21120,강서구,구,874,0.769,6.987758483,12.15136341,5.126458254,5.948022736,0.0,872,1.0,50.0,2.0,19.0,0.0,359,3000,0.0,0.9145383508324088,0.8764865087884838,0.8128667044038048,0.9414870632901949,0.15262351589429335,0.8478048780487805,0.04,0.34008528784648184,0.1,0.10674157303370786,0.0,0.16501650165016502,0.0
226310,강서해성,21120,강서구,구,874,0.769,11.63811268,9.7100439,6.747031889,3.200789255,0.0,872,0.0,15.0,0.0,3.0,0.0,112,3000,0.0,0.8520333050281442,0.9036341887578053,0.7501059974463052,0.9707267490608081,0.15262351589429335,0.8478048780487805,0.0,0.07675906183368869,0.0,0.016853932584269662,0.0,0.04950495049504951,0.0
326030,모라,21150,사상구,구,1646,0.769,4.419462477,13.51121807,0.294401705,9.176092744,9.0,332,9.0,124.0,6.0,62.0,12.0,494,3000,0.0,0.9490586158903908,0.8613648096568243,1.0,0.9071296803694308,0.30045959402527767,0.32097560975609757,0.36,0.4840085287846481,0.30000000000000004,0.348314606741573,0.9230769230769231,0.40924092409240925,0.375
226290,사상,21150,사상구,구,1646,0.769,5.410812937,9.039115289,2.772617119,6.846803697,8.0,332,17.0,130.0,9.0,64.0,5.0,421,3000,0.0,0.9357339521582491,0.9110949718052851,0.9040250020014595,0.9319210496775902,0.30045959402527767,0.32097560975609757,0.68,0.406183368869936,0.45,0.3595505617977528,0.38461538461538464,0.4290429042904291,0.3333333333333333
226260,오리,21510,기장군,군,501,0.555,26.8144786,15.77999975,4.990255002,10.29376223,1.0,243,4.0,64.0,2.0,22.0,4.0,429,7000,0.16461538461538458,0.6480489617314915,0.8361357649879027,0.8181415109296004,0.8952339660837462,0.08119494446572195,0.23414634146341462,0.16,0.4147121535181236,0.1,0.12359550561797752,0.3076923076923077,0.21122112211221122,0.041666666666666664
226250,반룡,21510,기장군,군,501,0.555,30.1383245,18.96646755,1.794927527,13.60917491,1.0,243,3.0,56.0,2.0,16.0,3.0,490,7000,0.16461538461538458,0.6033734098434562,0.8007019728469681,0.9418884403875278,0.8599469671324157,0.08119494446572195,0.23414634146341462,0.12,0.4797441364605543,0.1,0.0898876404494382,0.23076923076923078,0.18481848184818483,0.041666666666666664
226240,부산신소재,21510,기장군,군,501,0.555,28.89969502,17.50060669,3.235323766,12.16087872,1.0,243,3.0,40.0,2.0,10.0,3.0,384,7000,0.16461538461538458,0.6200217314770766,0.8170024699117028,0.8861055470304089,0.8753616473156821,0.08119494446572195,0.23414634146341462,0.12,0.3667377398720682,0.1,0.056179775280898875,0.23076923076923078,0.132013201320132,0.041666666666666664
226060,정관,21510,기장군,군,501,0.555,27.98012141,24.2350599,3.886173218,16.27343288,1.0,243,5.0,101.0,5.0,36.0,2.0,653,7000,0.16461538461538458,0.6323816482013818,0.7421147791507954,0.8608997983694288,0.8315904162992135,0.08119494446572195,0.23414634146341462,0.2,0.6535181236673774,0.25,0.20224719101123595,0.15384615384615385,0.3333333333333333,0.041666666666666664
226270,에코장안,21510,기장군,군,501,0.555,27.56228864,16.95713235,3.954612571,11.41932115,0.0,243,4.0,63.0,2.0,20.0,3.0,400,7000,0.16461538461538458,0.6379977056716322,0.8230459506578418,0.858249315796328,0.8832542820253197,0.08119494446572195,0.23414634146341462,0.16,0.38379530916844345,0.1,0.11235955056179775,0.23076923076923078,0.2079207920792079,0.0
